epoch,ER,F1,dense_11_loss,dense_12_loss,dense_13_loss,loss
0,"""[0.528416485670969, 1.0768043222397514, 0.9308293042280293]""","""[0.5336273925366429, 0.29472301456207084, 0.44527575779661305]""",136.3971405029297,0.724450409412384,0.596329927444458,137.7179412841797
1,"""[0.41041214732737, 0.9976842913941782, 0.9293417623914684]""","""[0.6265555182747896, 0.2683166717069907, 0.44554258990569984]""",86.77335357666016,0.7037968635559082,0.5840294361114502,88.0611801147461
2,"""[0.3670281994069292, 0.9421072941172879, 0.7504648565450113]""","""[0.6533806018845687, 0.27227418411156296, 0.47175275465849703]""",74.32157135009766,0.6891195178031921,0.5682349801063538,75.57894134521484
3,"""[0.356182212426819, 0.8707062906712828, 0.49609520249308475]""","""[0.6595192253420531, 0.3134998526868878, 0.5190497483421511]""",64.45185089111328,0.673933207988739,0.5530446171760559,65.6788330078125
4,"""[0.3809110627414703, 0.6387495173142611, 0.48679806601457865]""","""[0.6679216597937052, 0.4400559410772397, 0.5892394765662502]""",53.72700500488281,0.6601479649543762,0.5386532545089722,54.92581558227539
5,"""[0.37353579159499534, 0.5796989577075651, 0.48679806601457865]""","""[0.6691882349653646, 0.5071008016481972, 0.5892394765662502]""",47.13078308105469,0.6483030319213867,0.5254409909248352,48.304534912109375
6,"""[0.37527114951181295, 0.5160169816611282, 0.48679806601457865]""","""[0.6663857012725932, 0.5598209405988186, 0.5892394765662502]""",41.88623046875,0.6364884972572327,0.5129915475845337,43.03569793701172
7,"""[0.38524945753351436, 0.4735623309635036, 0.48679806601457865]""","""[0.6662484561357525, 0.5935591249288276, 0.5892394765662502]""",38.68674087524414,0.6263340711593628,0.5016955137252808,39.81476974487305
8,"""[0.3930585681591937, 0.4619837898641514, 0.48679806601457865]""","""[0.6531035271211163, 0.5968738367072268, 0.5892394765662502]""",34.60355758666992,0.6146084070205688,0.49067258834838867,35.708839416503906
9,"""[0.3613882861772719, 0.451177151504756, 0.48679806601457865]""","""[0.6450772199403898, 0.5991147346186491, 0.5892394765662502]""",33.292701721191406,0.6047021746635437,0.47999170422554016,34.37739944458008
10,"""[0.38872017336714965, 0.44500192958510154, 0.48679806601457865]""","""[0.6314133474478694, 0.5989166207495934, 0.5892394765662502]""",29.706144332885742,0.594908595085144,0.4707563817501068,30.771808624267578
11,"""[0.3770065074286306, 0.4403705131453607, 0.48679806601457865]""","""[0.6345445632171057, 0.5945054467580481, 0.5892394765662502]""",29.93794822692871,0.5880506634712219,0.4612298309803009,30.987239837646484
12,"""[0.44468546618451826, 0.43844075629546864, 0.48679806601457865]""","""[0.615671917994059, 0.5849241237464728, 0.5892394765662502]""",27.254152297973633,0.5808722972869873,0.4526936411857605,28.28771209716797
13,"""[0.4234273317035023, 0.41065225765702346, 0.48679806601457865]""","""[0.6120976388008115, 0.604871752038834, 0.5892394765662502]""",25.123764038085938,0.5701685547828674,0.44472330808639526,26.13866424560547
14,"""[0.3939262471176025, 0.3836356617585351, 0.48679806601457865]""","""[0.6327654573612821, 0.627011671085221, 0.5892394765662502]""",23.27899742126465,0.5635477304458618,0.4371131360530853,24.279659271240234
15,"""[0.42819956597475073, 0.38903898093823275, 0.48679806601457865]""","""[0.6214400363575957, 0.625196972378837, 0.5892394765662502]""",23.13079833984375,0.5558587908744812,0.43009060621261597,24.11675453186035
16,"""[0.3952277655552157, 0.3508297953103706, 0.48679806601457865]""","""[0.6103322493376286, 0.6595169260505825, 0.5892394765662502]""",21.068283081054688,0.5485380291938782,0.4231813848018646,22.04000473022461
17,"""[0.4247288501411155, 0.41142416039698027, 0.48679806601457865]""","""[0.6190070695973215, 0.6706647140978579, 0.5892394765662502]""",20.74656867980957,0.5434149503707886,0.4165135324001312,21.706499099731445
18,"""[0.4073752709729392, 0.39598610559784403, 0.48679806601457865]""","""[0.5993086534662262, 0.6775132122904385, 0.5892394765662502]""",19.22574234008789,0.5366917252540588,0.41063806414604187,20.173078536987305
19,"""[0.43817787399645214, 0.4218448473863972, 0.48679806601457865]""","""[0.6103537237471721, 0.6840502258729235, 0.5892394765662502]""",19.0881404876709,0.5319962501525879,0.40496891736984253,20.025096893310547
20,"""[0.4425162687884962, 0.38710922408834075, 0.48679806601457865]""","""[0.6038206214049351, 0.7064958129821697, 0.5892394765662502]""",17.25045394897461,0.5255336165428162,0.399861603975296,18.175844192504883
21,"""[0.4212581343074802, 0.42416055560626764, 0.48679806601457865]""","""[0.6098021734368404, 0.7100152357057684, 0.5892394765662502]""",16.91855812072754,0.5210605263710022,0.39478179812431335,17.834396362304688
22,"""[0.3809110627414703, 0.4527209569846697, 0.48679806601457865]""","""[0.6261513207648394, 0.718201447763682, 0.5892394765662502]""",15.751727104187012,0.5146883726119995,0.3901883363723755,16.65660285949707
23,"""[0.41735357899464054, 0.4951756076822943, 0.48679806601457865]""","""[0.6249995001838238, 0.7231372823399786, 0.5892394765662502]""",15.085038185119629,0.5101304054260254,0.38553473353385925,15.980705261230469
24,"""[0.4056399130561215, 0.5283674255004371, 0.48679806601457865]""","""[0.6420782932664474, 0.7242263175479062, 0.5892394765662502]""",14.101359367370605,0.5048837065696716,0.381325900554657,14.987570762634277
25,"""[0.39088937076317165, 0.48822848302268296, 0.48679806601457865]""","""[0.6212384379768491, 0.7208487383574105, 0.5892394765662502]""",13.642354011535645,0.5010205507278442,0.3770739436149597,14.5204496383667
26,"""[0.4685466375407607, 0.5140872248112361, 0.48679806601457865]""","""[0.6146915414616142, 0.723812134099775, 0.5892394765662502]""",13.188667297363281,0.49732208251953125,0.373578280210495,14.059565544128418
27,"""[0.40477223409771274, 0.4708606713736547, 0.48679806601457865]""","""[0.6080207718431742, 0.7228547363128908, 0.5892394765662502]""",12.522965431213379,0.4914548993110657,0.36998915672302246,13.384404182434082
28,"""[0.452928416289402, 0.5295252796103723, 0.48679806601457865]""","""[0.6361224908275224, 0.7255180857869983, 0.5892394765662502]""",12.25600528717041,0.48899343609809875,0.3665589988231659,13.111555099487305
29,"""[0.398698481388851, 0.518718641250977, 0.48679806601457865]""","""[0.6388004289480047, 0.7226094783054234, 0.5892394765662502]""",11.657157897949219,0.484097957611084,0.3635854125022888,12.504841804504395
30,"""[0.3813449022206747, 0.5318409878302428, 0.48679806601457865]""","""[0.650846957623283, 0.7260466973760946, 0.5892394765662502]""",10.962061882019043,0.4802038371562958,0.3607523441314697,11.803016662597656
31,"""[0.39566160503442016, 0.5109996138514089, 0.48679806601457865]""","""[0.6394581593825714, 0.7226748787700525, 0.5892394765662502]""",10.32313060760498,0.47735795378685,0.35773202776908875,11.158222198486328
32,"""[0.3874186549295364, 0.5256657659105883, 0.48679806601457865]""","""[0.6446275991674972, 0.7281204917223453, 0.5892394765662502]""",10.049016952514648,0.47461798787117004,0.35494861006736755,10.878583908081055
33,"""[0.4234273317035023, 0.47896565014320125, 0.48679806601457865]""","""[0.596663315071517, 0.7239422331133734, 0.5892394765662502]""",9.61821174621582,0.47113358974456787,0.35249438881874084,10.441841125488281
